Vardas                Pavarde               ND1       ND2       ND3       ND4       ND5       Egz.      
Vardas536             Pavarde536            7         10        10        4         9         9         
Vardas537             Pavarde537            7         2         10        1         1         2         
Vardas538             Pavarde538            10        6         2         1         1         5         
Vardas539             Pavarde539            2         2         1         0         10        6         
Vardas540             Pavarde540            6         5         2         4         6         6         
Vardas541             Pavarde541            7         4         8         10        7         4         
Vardas542             Pavarde542            7         7         8         10        4         8         
Vardas543             Pavarde543            9         8         2         0         3         0         
Vardas544             Pavarde544            6         7         2         8         8         6         
Vardas545             Pavarde545            4         4         6         0         8         5         
Vardas546             Pavarde546            4         10        3         6         3         8         
Vardas547             Pavarde547            5         9         7         5         2         4         
Vardas548             Pavarde548            10        6         8         2         2         6         
Vardas549             Pavarde549            2         7         9         2         9         6         
Vardas550             Pavarde550            3         1         10        6         9         1         
Vardas551             Pavarde551            0         2         2         5         4         3         
Vardas552             Pavarde552            6         2         0         5         0         4         
Vardas553             Pavarde553            10        7         1         1         9         0         
Vardas554             Pavarde554            4         10        10        7         3         10        
Vardas555             Pavarde555            9         10        10        8         2         4         
Vardas556             Pavarde556            9         1         6         2         1         4         
Vardas557             Pavarde557            5         5         7         7         7         8         
Vardas558             Pavarde558            2         1         7         5         3         5         
Vardas559             Pavarde559            5         9         10        9         2         8         
Vardas560             Pavarde560            5         9         9         0         0         5         
Vardas561             Pavarde561            8         3         7         1         5         5         
Vardas562             Pavarde562            0         9         5         9         7         0         
Vardas563             Pavarde563            5         3         1         0         7         8         
Vardas564             Pavarde564            0         4         1         0         1         8         
Vardas565             Pavarde565            3         7         7         9         8         1         
Vardas566             Pavarde566            8         6         8         3         5         4         
Vardas567             Pavarde567            9         4         4         1         3         7         
Vardas568             Pavarde568            1         9         4         3         2         2         
Vardas569             Pavarde569            0         8         6         2         8         9         
Vardas570             Pavarde570            6         10        4         5         4         1         
Vardas571             Pavarde571            9         10        3         4         1         3         
Vardas572             Pavarde572            3         3         10        6         2         10        
Vardas573             Pavarde573            3         3         7         4         8         10        
Vardas574             Pavarde574            5         1         5         10        4         10        
Vardas575             Pavarde575            1         2         2         1         3         7         
Vardas576             Pavarde576            7         10        5         5         7         0         
Vardas577             Pavarde577            7         1         4         5         4         9         
Vardas578             Pavarde578            3         3         7         9         9         2         
Vardas579             Pavarde579            1         1         1         0         7         7         
Vardas580             Pavarde580            7         0         5         4         4         3         
Vardas581             Pavarde581            8         2         3         3         3         3         
Vardas582             Pavarde582            0         2         6         5         8         2         
Vardas583             Pavarde583            1         8         2         3         4         3         
Vardas584             Pavarde584            2         10        1         5         1         6         
Vardas585             Pavarde585            6         10        10        5         2         8         
Vardas586             Pavarde586            3         0         9         0         1         9         
Vardas587             Pavarde587            1         8         5         3         10        9         
Vardas588             Pavarde588            5         6         10        10        7         5         
Vardas589             Pavarde589            2         6         3         2         9         0         
Vardas590             Pavarde590            5         3         4         6         0         2         
Vardas591             Pavarde591            0         3         0         0         7         7         
Vardas592             Pavarde592            9         1         0         5         0         1         
Vardas593             Pavarde593            8         6         4         9         2         4         
Vardas594             Pavarde594            4         5         3         2         6         7         
Vardas595             Pavarde595            4         10        5         10        8         4         
Vardas596             Pavarde596            9         5         9         2         10        1         
Vardas597             Pavarde597            9         10        2         5         3         3         
Vardas598             Pavarde598            7         3         2         8         7         1         
Vardas599             Pavarde599            4         6         10        3         9         8         
Vardas600             Pavarde600            5         4         1         8         9         2         
Vardas601             Pavarde601            10        0         10        0         5         9         
Vardas602             Pavarde602            10        4         10        3         9         7         
Vardas603             Pavarde603            4         5         4         7         10        5         
Vardas604             Pavarde604            0         4         2         1         0         0         
Vardas605             Pavarde605            6         8         6         3         6         5         
Vardas606             Pavarde606            7         0         1         0         9         4         
Vardas607             Pavarde607            4         4         1         6         1         9         
Vardas608             Pavarde608            6         6         1         7         0         2         
Vardas609             Pavarde609            7         7         7         6         4         1         
Vardas610             Pavarde610            10        6         0         0         0         5         
Vardas611             Pavarde611            8         4         9         3         1         4         
Vardas612             Pavarde612            6         8         1         9         6         2         
Vardas613             Pavarde613            0         10        8         8         3         8         
Vardas614             Pavarde614            8         9         1         10        0         9         
Vardas615             Pavarde615            3         0         5         3         6         0         
Vardas616             Pavarde616            6         9         7         1         3         2         
Vardas617             Pavarde617            4         4         3         9         1         10        
Vardas618             Pavarde618            3         10        6         2         3         6         
Vardas619             Pavarde619            2         0         2         10        6         8         
Vardas620             Pavarde620            4         5         1         7         10        2         
Vardas621             Pavarde621            10        3         1         0         4         4         
Vardas622             Pavarde622            7         10        3         0         0         7         
Vardas623             Pavarde623            8         6         2         8         9         9         
Vardas624             Pavarde624            5         7         1         1         2         4         
Vardas625             Pavarde625            4         8         3         7         3         9         
Vardas626             Pavarde626            10        10        10        9         2         0         
Vardas627             Pavarde627            6         10        1         6         8         1         
Vardas628             Pavarde628            10        3         10        9         3         5         
Vardas629             Pavarde629            10        1         2         5         6         1         
Vardas630             Pavarde630            7         8         3         10        7         10        
Vardas631             Pavarde631            7         3         8         8         9         0         
Vardas632             Pavarde632            1         4         10        1         3         8         
Vardas633             Pavarde633            5         3         8         1         10        6         
Vardas634             Pavarde634            6         1         7         10        6         0         
Vardas635             Pavarde635            5         3         5         1         8         7         
Vardas636             Pavarde636            1         7         4         6         0         2         
Vardas637             Pavarde637            0         4         0         7         3         10        
Vardas638             Pavarde638            10        5         9         2         9         3         
Vardas639             Pavarde639            6         7         9         8         4         3         
Vardas640             Pavarde640            4         8         10        2         2         4         
Vardas641             Pavarde641            1         5         7         7         6         0         
Vardas642             Pavarde642            9         1         0         2         1         7         
Vardas643             Pavarde643            9         8         8         8         1         10        
Vardas644             Pavarde644            8         2         6         4         10        6         
Vardas645             Pavarde645            5         7         9         0         0         0         
Vardas646             Pavarde646            8         9         5         6         6         3         
Vardas647             Pavarde647            5         10        7         0         6         6         
Vardas648             Pavarde648            7         7         10        3         6         10        
Vardas649             Pavarde649            10        9         10        4         0         3         
Vardas650             Pavarde650            8         9         7         9         7         4         
Vardas651             Pavarde651            2         10        6         3         4         1         
Vardas652             Pavarde652            8         7         0         3         9         9         
Vardas653             Pavarde653            9         4         7         10        0         7         
Vardas654             Pavarde654            0         9         1         0         7         6         
Vardas655             Pavarde655            2         6         0         10        6         8         
Vardas656             Pavarde656            8         4         4         9         5         4         
Vardas657             Pavarde657            4         0         7         5         9         1         
Vardas658             Pavarde658            7         5         8         5         5         10        
Vardas659             Pavarde659            1         1         7         3         9         2         
Vardas660             Pavarde660            3         0         4         4         5         4         
Vardas661             Pavarde661            7         2         0         10        2         6         
Vardas662             Pavarde662            1         2         5         3         2         8         
Vardas663             Pavarde663            1         10        2         10        3         4         
Vardas664             Pavarde664            10        1         1         4         2         2         
Vardas665             Pavarde665            0         1         4         0         4         5         
Vardas666             Pavarde666            9         8         8         7         3         5         
Vardas667             Pavarde667            10        6         10        5         8         2         
Vardas668             Pavarde668            6         6         2         7         0         3         
Vardas669             Pavarde669            5         8         2         1         3         5         
Vardas670             Pavarde670            2         6         4         5         9         0         
Vardas671             Pavarde671            2         9         10        6         10        6         
Vardas672             Pavarde672            2         1         10        8         9         5         
Vardas673             Pavarde673            7         7         7         1         6         4         
Vardas674             Pavarde674            10        9         9         9         3         5         
Vardas675             Pavarde675            0         9         1         4         6         6         
Vardas676             Pavarde676            4         2         9         10        3         7         
Vardas677             Pavarde677            7         1         7         8         6         10        
Vardas678             Pavarde678            10        1         5         6         6         6         
Vardas679             Pavarde679            10        7         2         8         10        9         
Vardas680             Pavarde680            3         2         0         3         7         0         
Vardas681             Pavarde681            6         8         8         5         7         3         
Vardas682             Pavarde682            7         10        0         6         4         7         
Vardas683             Pavarde683            10        6         10        9         3         6         
Vardas684             Pavarde684            2         3         2         5         0         6         
Vardas685             Pavarde685            5         8         10        1         2         8         
Vardas686             Pavarde686            1         8         5         0         5         1         
Vardas687             Pavarde687            3         1         6         2         0         7         
Vardas688             Pavarde688            1         8         8         6         3         10        
Vardas689             Pavarde689            8         1         5         8         7         10        
Vardas690             Pavarde690            5         8         9         3         4         0         
Vardas691             Pavarde691            7         8         0         8         7         4         
Vardas692             Pavarde692            7         3         6         7         6         6         
Vardas693             Pavarde693            2         3         4         4         4         10        
Vardas694             Pavarde694            6         8         4         7         3         5         
Vardas695             Pavarde695            7         7         6         7         10        5         
Vardas696             Pavarde696            3         0         7         1         10        8         
Vardas697             Pavarde697            5         6         5         4         3         9         
Vardas698             Pavarde698            3         2         1         0         10        10        
Vardas699             Pavarde699            2         1         10        9         5         6         
Vardas700             Pavarde700            7         0         10        5         3         3         
Vardas701             Pavarde701            5         5         9         5         8         10        
Vardas702             Pavarde702            0         2         0         2         10        7         
Vardas703             Pavarde703            10        5         2         3         9         4         
Vardas704             Pavarde704            1         9         10        10        10        9         
Vardas705             Pavarde705            9         6         3         4         1         7         
Vardas706             Pavarde706            7         2         0         0         6         3         
Vardas707             Pavarde707            7         6         8         8         1         10        
Vardas708             Pavarde708            2         9         8         3         7         0         
Vardas709             Pavarde709            0         7         9         5         3         5         
Vardas710             Pavarde710            9         5         1         7         0         10        
Vardas711             Pavarde711            3         0         8         3         7         1         
Vardas712             Pavarde712            6         1         6         0         6         3         
Vardas713             Pavarde713            1         9         2         5         5         9         
Vardas714             Pavarde714            3         10        4         10        5         10        
Vardas715             Pavarde715            6         3         0         5         5         8         
Vardas716             Pavarde716            7         10        8         2         5         5         
Vardas717             Pavarde717            3         10        2         3         6         2         
Vardas718             Pavarde718            6         5         2         2         1         2         
Vardas719             Pavarde719            0         2         6         6         10        3         
Vardas720             Pavarde720            6         4         9         1         7         10        
Vardas721             Pavarde721            1         3         10        3         1         6         
Vardas722             Pavarde722            6         9         6         3         7         3         
Vardas723             Pavarde723            10        9         0         4         5         0         
Vardas724             Pavarde724            9         9         4         0         6         4         
Vardas725             Pavarde725            10        5         6         1         10        2         
Vardas726             Pavarde726            2         7         10        8         6         1         
Vardas727             Pavarde727            10        9         0         7         8         1         
Vardas728             Pavarde728            3         6         6         6         3         10        
Vardas729             Pavarde729            4         2         4         6         10        0         
Vardas730             Pavarde730            10        2         10        3         10        7         
Vardas731             Pavarde731            3         0         7         8         2         2         
Vardas732             Pavarde732            3         5         2         9         7         10        
Vardas733             Pavarde733            10        10        1         2         0         7         
Vardas734             Pavarde734            7         4         4         3         5         9         
Vardas735             Pavarde735            2         3         10        7         3         3         
Vardas736             Pavarde736            0         4         0         4         4         4         
Vardas737             Pavarde737            2         1         6         9         0         1         
Vardas738             Pavarde738            3         2         8         2         5         8         
Vardas739             Pavarde739            8         8         0         10        5         10        
Vardas740             Pavarde740            3         1         0         4         8         7         
Vardas741             Pavarde741            2         7         3         1         4         6         
Vardas742             Pavarde742            5         10        9         2         3         5         
Vardas743             Pavarde743            9         0         8         7         0         1         
Vardas744             Pavarde744            1         3         7         5         9         10        
Vardas745             Pavarde745            5         6         4         4         2         0         
Vardas746             Pavarde746            7         3         6         9         0         2         
Vardas747             Pavarde747            7         0         10        7         10        4         
Vardas748             Pavarde748            9         9         1         9         6         0         
Vardas749             Pavarde749            6         0         6         7         5         2         
Vardas750             Pavarde750            0         6         10        2         10        2         
Vardas751             Pavarde751            2         6         0         6         9         7         
Vardas752             Pavarde752            8         8         6         8         0         1         
Vardas753             Pavarde753            7         2         0         6         9         7         
Vardas754             Pavarde754            8         8         7         7         5         0         
Vardas755             Pavarde755            9         4         7         7         0         1         
Vardas756             Pavarde756            4         6         2         4         10        7         
Vardas757             Pavarde757            3         3         3         6         8         9         
Vardas758             Pavarde758            8         8         2         2         1         4         
Vardas759             Pavarde759            9         5         9         7         6         0         
Vardas760             Pavarde760            3         5         9         1         8         8         
Vardas761             Pavarde761            8         1         7         2         9         4         
Vardas762             Pavarde762            7         6         10        2         5         6         
Vardas763             Pavarde763            5         10        2         3         2         8         
Vardas764             Pavarde764            8         8         4         0         4         5         
Vardas765             Pavarde765            1         9         7         5         6         5         
Vardas766             Pavarde766            6         3         7         0         6         6         
Vardas767             Pavarde767            0         7         1         1         7         1         
Vardas768             Pavarde768            1         9         1         0         4         5         
Vardas769             Pavarde769            5         10        3         9         1         9         
Vardas770             Pavarde770            2         1         9         4         7         1         
Vardas771             Pavarde771            3         0         9         3         3         3         
Vardas772             Pavarde772            8         2         9         0         6         3         
Vardas773             Pavarde773            7         5         7         7         9         2         
Vardas774             Pavarde774            1         2         0         9         4         5         
Vardas775             Pavarde775            4         7         7         7         0         2         
Vardas776             Pavarde776            3         2         8         10        6         7         
Vardas777             Pavarde777            7         6         8         0         5         1         
Vardas778             Pavarde778            1         9         2         7         10        1         
Vardas779             Pavarde779            6         2         5         2         0         3         
Vardas780             Pavarde780            1         7         4         5         6         10        
Vardas781             Pavarde781            9         5         4         0         9         1         
Vardas782             Pavarde782            9         1         7         0         5         8         
Vardas783             Pavarde783            6         3         8         4         2         6         
Vardas784             Pavarde784            6         9         1         10        3         6         
Vardas785             Pavarde785            10        0         0         6         1         7         
Vardas786             Pavarde786            3         4         7         1         7         4         
Vardas787             Pavarde787            4         5         4         1         6         8         
Vardas788             Pavarde788            1         4         9         0         5         6         
Vardas789             Pavarde789            3         3         1         10        8         7         
Vardas790             Pavarde790            6         6         2         7         6         4         
Vardas791             Pavarde791            9         1         3         1         5         2         
Vardas792             Pavarde792            1         10        9         9         1         5         
Vardas793             Pavarde793            0         10        8         9         1         4         
Vardas794             Pavarde794            3         2         6         8         2         1         
Vardas795             Pavarde795            10        1         0         3         10        5         
Vardas796             Pavarde796            10        4         2         8         2         6         
Vardas797             Pavarde797            10        4         6         5         6         6         
Vardas798             Pavarde798            8         7         8         1         6         3         
Vardas799             Pavarde799            6         7         2         4         3         3         
Vardas800             Pavarde800            3         10        0         2         5         0         
Vardas801             Pavarde801            1         8         4         1         0         2         
Vardas802             Pavarde802            3         1         4         1         9         1         
Vardas803             Pavarde803            3         4         4         10        5         1         
Vardas804             Pavarde804            3         0         7         3         10        9         
Vardas805             Pavarde805            1         8         10        4         0         2         
Vardas806             Pavarde806            10        3         2         7         3         10        
Vardas807             Pavarde807            1         0         0         4         10        0         
Vardas808             Pavarde808            5         9         1         1         5         8         
Vardas809             Pavarde809            8         3         2         1         10        3         
Vardas810             Pavarde810            6         9         5         3         7         9         
Vardas811             Pavarde811            8         8         8         5         5         10        
Vardas812             Pavarde812            7         6         9         6         8         0         
Vardas813             Pavarde813            4         3         4         5         8         2         
Vardas814             Pavarde814            10        7         6         3         10        2         
Vardas815             Pavarde815            3         10        9         5         6         1         
Vardas816             Pavarde816            8         8         7         1         10        0         
Vardas817             Pavarde817            10        6         10        6         6         2         
Vardas818             Pavarde818            9         6         5         0         1         8         
Vardas819             Pavarde819            1         3         4         3         9         10        
Vardas820             Pavarde820            8         6         7         10        7         1         
Vardas821             Pavarde821            4         2         8         7         2         3         
Vardas822             Pavarde822            2         10        2         1         0         10        
Vardas823             Pavarde823            0         7         7         2         3         1         
Vardas824             Pavarde824            4         5         2         4         5         4         
Vardas825             Pavarde825            2         6         2         1         4         3         
Vardas826             Pavarde826            8         1         5         6         10        0         
Vardas827             Pavarde827            10        2         0         8         9         10        
Vardas828             Pavarde828            2         2         10        3         4         5         
Vardas829             Pavarde829            9         4         7         5         3         10        
Vardas830             Pavarde830            1         8         7         0         5         1         
Vardas831             Pavarde831            9         4         10        9         3         8         
Vardas832             Pavarde832            9         8         8         9         2         5         
Vardas833             Pavarde833            9         2         5         7         5         5         
Vardas834             Pavarde834            3         7         10        6         8         10        
Vardas835             Pavarde835            1         6         6         3         7         9         
Vardas836             Pavarde836            1         7         8         7         9         10        
Vardas837             Pavarde837            8         5         6         4         0         6         
Vardas838             Pavarde838            1         10        3         5         1         2         
Vardas839             Pavarde839            10        10        5         7         8         10        
Vardas840             Pavarde840            1         7         10        4         5         0         
Vardas841             Pavarde841            5         8         2         4         1         3         
Vardas842             Pavarde842            3         1         7         0         7         1         
Vardas843             Pavarde843            8         2         6         3         7         5         
Vardas844             Pavarde844            9         2         8         1         3         10        
Vardas845             Pavarde845            8         0         3         10        4         9         
Vardas846             Pavarde846            6         1         10        0         3         4         
Vardas847             Pavarde847            10        7         10        0         6         8         
Vardas848             Pavarde848            1         5         7         8         10        7         
Vardas849             Pavarde849            3         0         10        7         8         5         
Vardas850             Pavarde850            9         5         5         0         7         2         
Vardas851             Pavarde851            9         6         3         6         10        1         
Vardas852             Pavarde852            1         6         8         5         3         6         
Vardas853             Pavarde853            8         7         4         1         6         5         
Vardas854             Pavarde854            9         2         1         9         1         0         
Vardas855             Pavarde855            10        8         3         0         9         8         
Vardas856             Pavarde856            10        7         5         8         0         10        
Vardas857             Pavarde857            6         10        4         4         9         7         
Vardas858             Pavarde858            0         7         0         9         4         7         
Vardas859             Pavarde859            5         4         8         4         10        5         
Vardas860             Pavarde860            6         7         2         3         7         8         
Vardas861             Pavarde861            9         2         1         9         2         8         
Vardas862             Pavarde862            4         4         3         6         10        6         
Vardas863             Pavarde863            2         8         8         4         1         9         
Vardas864             Pavarde864            6         9         5         5         9         6         
Vardas865             Pavarde865            1         4         9         3         5         7         
Vardas866             Pavarde866            0         4         7         0         0         3         
Vardas867             Pavarde867            4         3         7         5         5         7         
Vardas868             Pavarde868            2         1         9         4         0         7         
Vardas869             Pavarde869            4         4         9         6         1         2         
Vardas870             Pavarde870            10        3         1         6         2         4         
Vardas871             Pavarde871            9         7         4         7         0         8         
Vardas872             Pavarde872            8         5         8         7         3         8         
Vardas873             Pavarde873            1         0         10        8         9         7         
Vardas874             Pavarde874            3         0         10        10        5         7         
Vardas875             Pavarde875            10        4         1         1         5         1         
Vardas876             Pavarde876            3         8         4         7         8         2         
Vardas877             Pavarde877            2         9         10        7         8         2         
Vardas878             Pavarde878            7         10        1         10        6         5         
Vardas879             Pavarde879            8         0         0         6         6         10        
Vardas880             Pavarde880            4         4         10        1         9         10        
Vardas881             Pavarde881            1         1         10        0         1         2         
Vardas882             Pavarde882            0         10        7         5         4         1         
Vardas883             Pavarde883            5         8         0         9         8         9         
Vardas884             Pavarde884            8         8         2         3         9         8         
Vardas885             Pavarde885            9         4         9         7         2         8         
Vardas886             Pavarde886            4         3         2         0         9         4         
Vardas887             Pavarde887            3         2         3         9         1         8         
Vardas888             Pavarde888            0         1         3         5         9         1         
Vardas889             Pavarde889            3         9         10        3         1         6         
Vardas890             Pavarde890            10        0         10        2         5         10        
Vardas891             Pavarde891            0         4         0         3         9         8         
Vardas892             Pavarde892            0         7         5         1         4         9         
Vardas893             Pavarde893            2         6         5         4         5         9         
Vardas894             Pavarde894            2         8         8         0         8         9         
Vardas895             Pavarde895            6         2         8         1         10        4         
Vardas896             Pavarde896            7         2         8         0         1         8         
Vardas897             Pavarde897            8         4         10        1         3         3         
Vardas898             Pavarde898            1         1         3         7         4         5         
Vardas899             Pavarde899            7         7         5         10        7         2         
Vardas900             Pavarde900            5         5         8         0         6         7         
Vardas901             Pavarde901            5         7         0         3         3         1         
Vardas902             Pavarde902            7         10        6         5         5         7         
Vardas903             Pavarde903            8         10        4         0         4         8         
Vardas904             Pavarde904            6         2         8         1         9         7         
Vardas905             Pavarde905            4         0         8         9         5         3         
Vardas906             Pavarde906            0         3         8         5         9         4         
Vardas907             Pavarde907            8         8         1         10        3         10        
Vardas908             Pavarde908            10        9         9         1         10        9         
Vardas909             Pavarde909            3         1         6         1         7         9         
Vardas910             Pavarde910            4         2         0         10        6         4         
Vardas911             Pavarde911            2         3         0         1         4         1         
Vardas912             Pavarde912            7         3         0         9         3         0         
Vardas913             Pavarde913            0         9         4         9         1         9         
Vardas914             Pavarde914            7         10        3         2         1         5         
Vardas915             Pavarde915            0         6         3         0         3         6         
Vardas916             Pavarde916            8         0         0         0         2         10        
Vardas917             Pavarde917            7         10        4         6         7         1         
Vardas918             Pavarde918            8         6         4         0         0         3         
Vardas919             Pavarde919            10        7         1         9         0         0         
Vardas920             Pavarde920            8         9         0         6         8         3         
Vardas921             Pavarde921            10        0         2         3         3         6         
Vardas922             Pavarde922            3         9         6         10        10        1         
Vardas923             Pavarde923            3         4         4         0         8         1         
Vardas924             Pavarde924            8         6         4         4         3         1         
Vardas925             Pavarde925            10        7         0         9         6         5         
Vardas926             Pavarde926            8         7         8         4         7         2         
Vardas927             Pavarde927            2         6         0         1         2         0         
Vardas928             Pavarde928            1         7         8         9         2         0         
Vardas929             Pavarde929            1         5         10        8         3         4         
Vardas930             Pavarde930            6         6         0         10        3         2         
Vardas931             Pavarde931            5         0         5         7         1         5         
Vardas932             Pavarde932            9         6         5         8         3         9         
Vardas933             Pavarde933            5         10        5         5         1         1         
Vardas934             Pavarde934            3         0         3         6         0         0         
Vardas935             Pavarde935            9         10        9         0         5         5         
Vardas936             Pavarde936            3         4         2         7         8         0         
Vardas937             Pavarde937            5         1         7         7         9         4         
Vardas938             Pavarde938            2         4         3         3         0         3         
Vardas939             Pavarde939            6         2         6         0         10        5         
Vardas940             Pavarde940            6         6         8         1         6         2         
Vardas941             Pavarde941            3         9         3         8         8         8         
Vardas942             Pavarde942            8         6         3         9         7         4         
Vardas943             Pavarde943            6         10        0         3         1         5         
Vardas944             Pavarde944            3         6         8         2         1         7         
Vardas945             Pavarde945            2         3         0         3         4         8         
Vardas946             Pavarde946            4         2         5         3         10        9         
Vardas947             Pavarde947            10        4         2         1         5         2         
Vardas948             Pavarde948            4         2         8         5         7         0         
Vardas949             Pavarde949            10        10        0         4         3         8         
Vardas950             Pavarde950            10        10        0         9         8         2         
Vardas951             Pavarde951            9         2         10        0         5         2         
Vardas952             Pavarde952            4         10        6         8         3         7         
Vardas953             Pavarde953            1         5         9         1         0         10        
Vardas954             Pavarde954            1         1         6         6         7         1         
Vardas955             Pavarde955            1         10        8         9         1         10        
Vardas956             Pavarde956            0         5         1         5         6         0         
Vardas957             Pavarde957            4         4         3         1         7         6         
Vardas958             Pavarde958            7         3         7         9         3         0         
Vardas959             Pavarde959            0         3         7         6         9         5         
Vardas960             Pavarde960            0         2         3         9         6         6         
Vardas961             Pavarde961            10        10        4         3         7         5         
Vardas962             Pavarde962            10        2         4         0         7         7         
Vardas963             Pavarde963            4         6         4         2         3         0         
Vardas964             Pavarde964            7         10        9         2         1         9         
Vardas965             Pavarde965            1         3         5         4         4         3         
Vardas966             Pavarde966            2         3         5         4         0         9         
Vardas967             Pavarde967            0         4         5         2         0         5         
Vardas968             Pavarde968            0         8         5         4         2         6         
Vardas969             Pavarde969            1         0         0         9         4         9         
Vardas970             Pavarde970            4         0         0         10        10        0         
Vardas971             Pavarde971            10        2         5         2         8         6         
Vardas972             Pavarde972            2         9         8         5         6         3         
Vardas973             Pavarde973            7         7         6         1         5         5         
Vardas974             Pavarde974            9         9         7         7         4         2         
Vardas975             Pavarde975            3         1         4         1         7         9         
Vardas976             Pavarde976            4         0         6         9         1         10        
Vardas977             Pavarde977            1         4         3         5         2         7         
Vardas978             Pavarde978            6         0         5         9         6         0         
Vardas979             Pavarde979            2         10        2         4         5         1         
Vardas980             Pavarde980            9         1         10        9         1         2         
Vardas981             Pavarde981            4         2         8         1         6         9         
Vardas982             Pavarde982            10        7         10        10        4         6         
Vardas983             Pavarde983            3         0         1         0         3         3         
Vardas984             Pavarde984            1         4         0         10        0         8         
Vardas985             Pavarde985            7         10        1         1         4         3         
Vardas986             Pavarde986            4         6         5         2         2         4         
Vardas987             Pavarde987            1         4         7         3         2         9         
Vardas988             Pavarde988            8         7         6         10        1         1         
Vardas989             Pavarde989            6         1         7         6         1         3         
Vardas990             Pavarde990            10        5         0         2         4         5         
Vardas991             Pavarde991            5         1         10        2         7         0         
Vardas992             Pavarde992            4         5         5         6         10        4         
Vardas993             Pavarde993            6         9         4         6         6         5         
Vardas994             Pavarde994            2         2         7         2         10        7         
Vardas995             Pavarde995            2         0         6         6         1         1         
Vardas996             Pavarde996            3         1         6         4         7         8         
Vardas997             Pavarde997            8         5         3         10        7         4         
Vardas998             Pavarde998            5         7         8         4         7         2         
Vardas999             Pavarde999            3         5         6         10        6         5         
Vardas1000            Pavarde1000           6         2         10        4         7         7         
